preloaded 1977 session snapshots in 26s
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0009 at 2020-06-23; mark is stale
no quotes for T0010 at 2020-06-23; mark is stale
T0017 expires today with no quotes; closing at intrinsic
no quotes for T0020 at 2021-01-05; mark is stale
no quotes for T0021 at 2021-01-05; mark is stale
no quotes for T0027 at 2021-09-10; mark is stale
no quotes for T0028 at 2021-09-10; mark is stale
no quotes for T0029 at 2021-11-17; mark is stale
no quotes for T0030 at 2021-11-17; mark is stale
no quotes for T0029 at 2021-11-19; mark is stale
no quotes for T0030 at 2021-11-19; mark is stale
no quotes for T0038 at 2023-08-24; mark is stale
no quotes for T0039 at 2023-08-24; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
no quotes for T0005 at 2020-06-23; mark is stale
T0012 expires today with no quotes; closing at intrinsic
no quotes for T0015 at 2021-01-05; mark is stale
no quotes for T0016 at 2021-01-05; mark is stale
no quotes for T0021 at 2021-06-01; mark is stale
no quotes for T0022 at 2021-09-10; mark is stale
no quotes for T0023 at 2021-09-10; mark is stale
no quotes for T0024 at 2021-11-17; mark is stale
