symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
QQQ,iv_minus_rv20,fwd21_tail,1113,-0.11,-0.216,0.006,0.089,False,False
QQQ,iv_minus_rv20,fwd21_rv,1113,-0.066,-0.243,0.098,-0.008,False,False
QQQ,iwm_spy_ret20_diff,fwd21_ret,1113,0.173,0.008,0.324,0.064,True,True
QQQ,iwm_spy_ret20_diff,fwd21_tail,1113,-0.131,-0.257,-0.012,-0.044,True,True
QQQ,iwm_spy_ret20_diff,fwd21_rv,1113,-0.118,-0.269,0.025,0.157,False,False
QQQ,ma50_slope_20d,fwd21_ret,1113,-0.088,-0.301,0.096,-0.334,False,False
QQQ,ma50_slope_20d,fwd21_tail,1113,-0.013,-0.134,0.124,0.115,False,False
QQQ,ma50_slope_20d,fwd21_rv,1113,-0.04,-0.263,0.186,0.173,False,False
QQQ,pc1_loading_dispersion,fwd21_ret,1113,-0.341,-0.499,-0.152,-0.234,True,True
QQQ,pc1_loading_dispersion,fwd21_tail,1113,0.196,0.05,0.351,0.035,True,True
QQQ,pc1_loading_dispersion,fwd21_rv,1113,0.021,-0.231,0.267,0.054,False,False
QQQ,qqq_spy_ret20_diff,fwd21_ret,1113,0.014,-0.166,0.207,-0.04,False,False
QQQ,qqq_spy_ret20_diff,fwd21_tail,1113,-0.056,-0.2,0.109,0.132,False,False
QQQ,qqq_spy_ret20_diff,fwd21_rv,1113,-0.095,-0.289,0.129,0.05,False,False
QQQ,rate_3m_chg_20d,fwd21_ret,1113,-0.202,-0.324,-0.008,-0.028,True,False
QQQ,rate_3m_chg_20d,fwd21_tail,1113,0.221,0.089,0.311,0.074,True,True
QQQ,rate_3m_chg_20d,fwd21_rv,1113,0.305,0.109,0.486,-0.006,True,False
QQQ,rate_3m_level,fwd21_ret,1113,-0.107,-0.27,0.092,0.018,False,False
QQQ,rate_3m_level,fwd21_tail,1113,0.099,-0.06,0.255,0.038,False,False
QQQ,rate_3m_level,fwd21_rv,1113,0.082,-0.203,0.347,-0.337,False,False
QQQ,rebound_from_20d_low,fwd21_ret,1113,0.037,-0.11,0.194,-0.137,False,False
QQQ,rebound_from_20d_low,fwd21_tail,1113,0.006,-0.102,0.094,0.068,False,False
QQQ,rebound_from_20d_low,fwd21_rv,1113,-0.068,-0.203,0.116,0.041,False,False
QQQ,ret_120d,fwd21_ret,1113,-0.143,-0.347,0.062,-0.34,False,False
QQQ,ret_120d,fwd21_tail,1113,-0.052,-0.184,0.117,0.179,False,False
QQQ,ret_120d,fwd21_rv,1113,-0.234,-0.42,-0.003,0.072,True,False
QQQ,ret_1d,fwd21_ret,1113,0.001,-0.047,0.04,-0.09,False,False
QQQ,ret_1d,fwd21_tail,1113,0.012,-0.031,0.061,0.08,False,False
QQQ,ret_1d,fwd21_rv,1113,-0.05,-0.094,0.006,0.008,False,False
QQQ,ret_20d,fwd21_ret,1113,-0.079,-0.23,0.08,-0.184,False,False
QQQ,ret_20d,fwd21_tail,1113,-0.004,-0.11,0.104,0.159,False,False
QQQ,ret_20d,fwd21_rv,1113,-0.129,-0.269,0.049,0.165,False,False
QQQ,ret_5d,fwd21_ret,1113,-0.027,-0.11,0.054,-0.113,False,False
QQQ,ret_5d,fwd21_tail,1113,0.018,-0.05,0.083,0.139,False,False
QQQ,ret_5d,fwd21_rv,1113,-0.077,-0.168,0.042,0.035,False,False
QQQ,ret_60d,fwd21_ret,1113,-0.106,-0.319,0.068,-0.376,False,False
QQQ,ret_60d,fwd21_tail,1113,-0.017,-0.139,0.109,0.154,False,False
QQQ,ret_60d,fwd21_rv,1113,-0.105,-0.295,0.126,0.22,False,False
QQQ,ret_accel_5_20,fwd21_ret,1113,0.015,-0.061,0.085,-0.045,False,False
QQQ,ret_accel_5_20,fwd21_tail,1113,0.01,-0.051,0.075,0.083,False,False
QQQ,ret_accel_5_20,fwd21_rv,1113,-0.035,-0.097,0.045,-0.029,False,False
QQQ,rsi_14,fwd21_ret,1113,-0.066,-0.2,0.066,-0.232,False,False
QQQ,rsi_14,fwd21_tail,1113,-0.043,-0.146,0.054,0.17,False,False
QQQ,rsi_14,fwd21_rv,1113,-0.182,-0.316,-0.012,0.137,True,False
QQQ,rv_10,fwd21_ret,1113,0.135,-0.028,0.312,0.261,False,False
QQQ,rv_10,fwd21_tail,1113,0.056,-0.072,0.167,-0.17,False,False
QQQ,rv_10,fwd21_rv,1113,0.291,0.094,0.454,-0.143,True,False
QQQ,rv_20,fwd21_ret,1113,0.167,-0.022,0.372,0.289,False,False
QQQ,rv_20,fwd21_tail,1113,0.042,-0.114,0.153,-0.186,False,False
QQQ,rv_20,fwd21_rv,1113,0.266,0.072,0.448,-0.14,True,False
QQQ,rv_5,fwd21_ret,1113,0.134,-0.027,0.3,0.183,False,False
QQQ,rv_5,fwd21_tail,1113,0.036,-0.091,0.132,-0.128,False,False
QQQ,rv_5,fwd21_rv,1113,0.274,0.123,0.397,-0.115,True,False
QQQ,rv_60,fwd21_ret,1113,0.24,0.032,0.47,0.425,True,True
QQQ,rv_60,fwd21_tail,1113,-0.015,-0.181,0.136,-0.184,False,False
QQQ,rv_60,fwd21_rv,1113,0.156,-0.11,0.382,-0.075,False,False
QQQ,spy_lqd_corr_60,fwd21_ret,1113,0.159,-0.025,0.353,-0.047,False,False
QQQ,spy_lqd_corr_60,fwd21_tail,1113,-0.045,-0.24,0.132,0.164,False,False
QQQ,spy_lqd_corr_60,fwd21_rv,1113,0.109,-0.206,0.39,0.185,False,False
QQQ,spy_rsp_ratio_z60,fwd21_ret,1113,-0.101,-0.263,0.077,-0.065,False,False
QQQ,spy_rsp_ratio_z60,fwd21_tail,1113,0.014,-0.112,0.169,0.09,False,False
QQQ,spy_rsp_ratio_z60,fwd21_rv,1113,0.038,-0.187,0.268,0.045,False,False
QQQ,spy_rsp_ret20_diff,fwd21_ret,1113,-0.067,-0.244,0.108,-0.01,False,False
QQQ,spy_rsp_ret20_diff,fwd21_tail,1113,0.008,-0.129,0.152,0.134,False,False
QQQ,spy_rsp_ret20_diff,fwd21_rv,1113,-0.013,-0.177,0.179,-0.021,False,False
