run_id,hyp,symbol,scenario,params,cagr,ann_vol,sharpe,max_drawdown,final_equity,n_trades,win_rate,avg_win,avg_loss,profit_factor,ev_per_trade,total_pnl,worst_trade,best_trade,median_holding_days,util,yearly
H2_IWM_base_5f86e700,H2,IWM,base,"{'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",-0.0869,0.2037,-0.41,-0.4136,6689.97,33,0.273,635.57,-393.11,0.61,-112.56,-3714.4,-793.6,2576.85,25.0,0.042,"{2018: -0.0406, 2019: -0.0651, 2020: 0.0308, 2021: -0.2045, 2022: -0.0899}"
H2_QQQ_base_0ba8db84,H2,QQQ,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",0.0113,0.001,0.11,-0.0,10507.96,0,,,,,,,,,,0.0,"{2018: 0.0088, 2019: 0.021, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
H2_IWM_base_a2dcd313,H2,IWM,base,"{'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",-0.1665,0.3166,-0.47,-0.6176,4470.64,33,0.273,784.52,-539.28,0.55,-178.24,-5882.0,-1190.4,2576.85,25.0,0.064,"{2018: -0.0653, 2019: -0.1011, 2020: -0.0548, 2021: -0.3219, 2022: -0.169}"
H2_IWM_base_f680284e,H2,IWM,base,"{'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",-0.0315,0.06,-0.7,-0.183,8683.11,13,0.231,266.85,-257.45,0.31,-136.46,-1773.95,-385.65,327.35,28.0,0.009,"{2018: -0.0149, 2019: -0.0018, 2020: -0.1028, 2021: -0.0312, 2022: 0.0161}"
H2_IWM_base_1fc1388e,H2,IWM,base,"{'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",-0.0236,0.1643,-0.14,-0.2836,8995.3,31,0.258,764.12,-329.03,0.81,-46.92,-1454.6,-771.3,2668.35,28.0,0.045,"{2018: -0.0387, 2019: -0.0298, 2020: 0.149, 2021: -0.0858, 2022: -0.0815}"
H2_QQQ_base_587871a3,H2,QQQ,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",0.0104,0.1136,0.05,-0.1723,10461.26,13,0.692,462.46,-1043.96,1.0,-1.05,-13.7,-1471.4,928.1,33.0,0.036,"{2018: -0.0564, 2019: 0.1948, 2020: -0.0865, 2021: 0.0004, 2022: 0.0161}"
H2_IWM_base_87f2afb3,H2,IWM,base,"{'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",-0.08,0.2333,-0.3,-0.4443,6916.29,32,0.281,789.52,-460.41,0.67,-108.87,-3483.7,-1156.95,2950.85,27.0,0.062,"{2018: -0.0474, 2019: -0.083, 2020: 0.0991, 2021: -0.1925, 2022: -0.1073}"
H2_IWM_base_a884a0ea,H2,IWM,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",-0.0096,0.1907,-0.02,-0.3102,9579.51,30,0.367,685.92,-443.56,0.9,-29.41,-882.4,-735.8,2971.1,28.0,0.065,"{2018: -0.0126, 2019: -0.0344, 2020: 0.2181, 2021: -0.0787, 2022: -0.1043}"
H2_IWM_base_6f9094f2,H2,IWM,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",-0.0043,0.0407,-0.36,-0.0839,9813.72,5,0.4,158.97,-328.32,0.32,-133.4,-667.0,-582.4,211.85,29.0,0.005,"{2018: -0.0286, 2019: 0.0268, 2020: -0.0321, 2021: 0.0004, 2022: 0.0161}"
H2_IWM_base_780f0db7,H2,IWM,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",-0.0398,0.0835,-0.59,-0.2267,8358.78,13,0.385,229.75,-403.62,0.36,-160.02,-2080.2,-686.9,439.1,28.0,0.017,"{2018: -0.0365, 2019: -0.0088, 2020: -0.0801, 2021: -0.0634, 2022: 0.0161}"
H2_IWM_base_0ba8db84,H2,IWM,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",0.0113,0.001,0.28,-0.0,10507.96,0,,,,,,,,,,0.0,"{2018: 0.0088, 2019: 0.021, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
H2_IWM_base_587871a3,H2,IWM,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",-0.0508,0.0943,-0.64,-0.2622,7942.12,11,0.364,336.1,-545.29,0.35,-224.79,-2472.65,-1031.9,500.1,32.0,0.026,"{2018: -0.0625, 2019: -0.022, 2020: -0.1475, 2021: 0.0004, 2022: 0.0161}"
H2_IWM_base_a2a95139,H2,IWM,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",-0.0052,0.0428,-0.36,-0.1316,9773.16,5,0.4,265.85,-408.98,0.43,-139.05,-695.25,-907.9,325.85,27.0,0.007,"{2018: -0.062, 2019: 0.0213, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
H4_IWM_base_c2cf8486,H4,IWM,base,"{'target_delta': -0.6, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",0.0569,0.2006,0.32,-0.3116,12763.91,39,0.282,1127.04,-365.92,1.21,55.17,2151.6,-924.9,2992.1,14.0,0.037,"{2018: 0.1488, 2019: -0.1643, 2020: 0.0457, 2021: 0.0004, 2022: 0.2708}"
H4_QQQ_base_c2cf8486,H4,QQQ,base,"{'target_delta': -0.6, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",-0.0151,0.0787,-0.3,-0.2071,9351.98,9,0.222,611.23,-332.79,0.52,-123.01,-1107.1,-768.65,877.1,5.0,0.005,"{2018: 0.0401, 2019: -0.1187, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
BENCH_IWM_base_3130abb4,BENCH,IWM,base,{'budget_pct': 0.1},-0.0871,0.304,-0.19,-0.4722,6685.34,72,0.431,488.91,-455.95,0.81,-49.13,-3537.6,-993.25,1272.2,21.0,0.066,"{2018: -0.2502, 2019: 0.1689, 2020: 0.1905, 2021: -0.1162, 2022: -0.2746}"
H4_SPY_base_c2cf8486,H4,SPY,base,"{'target_delta': -0.6, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",-0.0179,0.0387,-0.74,-0.1175,9233.51,3,0.0,0.0,-407.57,0.0,-407.57,-1222.7,-821.9,-52.65,2.0,0.001,"{2018: -0.0261, 2019: -0.0706, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
BENCH_QQQ_base_3130abb4,BENCH,QQQ,base,{'budget_pct': 0.1},0.1997,0.3297,0.69,-0.3641,22323.49,72,0.514,1449.31,-1182.47,1.3,169.97,12237.75,-2613.3,9220.4,21.0,0.077,"{2018: -0.2385, 2019: 0.7101, 2020: 0.6144, 2021: 0.5476, 2022: -0.3136}"
BENCH_SPY_base_3130abb4,BENCH,SPY,base,{'budget_pct': 0.1},0.0872,0.2961,0.39,-0.3865,14456.71,69,0.464,918.32,-683.53,1.16,59.36,4095.65,-1776.3,2718.1,23.0,0.075,"{2018: -0.1852, 2019: 0.6051, 2020: 0.3109, 2021: 0.2317, 2022: -0.3151}"
